id,date_issued,permit_number,category,island,origin,number_requested,requested_male,requested_female,port_of_discharge,date_of_arrival,arrival_month,acctual_arrival,number,male,female,year_permit_issued,flf,flm,mlf,breed,validity,ps_male,ps_female,gp_male,gp_female,mlm,requested_flf,requested_flm,requested_mlf,requested_mlm
27,06/04/2018,icdabaiq11018161252,"Day-Old Chicks",Mindanao,Netherlands,11648,1248,10400,NAIA,13/04/2018,April,11648,PS-Layer,1248,10400,2018,0,0,0,"Isa White",,0,0,0,0,0,0,0,0,0
28,10/04/2018,icdabaiq11018161272,"Day-Old Chicks",Mindanao,"United Kingdom",14700,5320,9380,NAIA,02/05/2018,May,14700,GP,0,0,2018,7280,3220,2100,Cobb,,0,0,5320,9380,2100,7280,3220,2100,2100
29,11/04/2018,icdabaiq11018161273,"Day-Old Chicks",Mindanao,Netherlands,14840,5390,9450,NAIA,04/05/2018,May,14840,GP,0,0,2018,7280,3220,2170,Cobb,,0,0,5390,9450,2170,7280,3220,2170,2170
30,17/04/2018,icdabaiq11018161305,"Day-Old Chicks",Mindanao,U.S.A.,12924,2955,9969,NAIA,17/05/2018,May,12924,GP,0,0,2018,7384,2068,2585,"Indian River Meat",,0,0,2955,9969,887,7384,2068,2585,887
31,17/04/2018,icdabaiq11018161304,"Day-Old Chicks",Mindanao,U.S.A.,12924,2955,9969,NAIA,20/05/2018,May,12924,GP,0,0,2018,7384,2068,2585,"Indian River Meat",,0,0,2955,9969,887,7384,2068,2585,887
32,19/04/2018,icdabaiq11018161317,"Day-Old Chicks",Mindanao,U.S.A.,27589,7957,19632,NAIA,13/05/2018,May,27589,GP,0,0,2018,14872,3941,4760,Ross,,0,0,7957,19632,4016,14872,3941,4760,4016
33,23/04/2018,icdabaiq11018161326,"Day-Old Chicks",Mindanao,Netherlands,30170,10920,19250,NAIA,03/05/2018,May,30170,GP,0,0,2018,14910,6580,4340,Cobb,,0,0,10920,19250,4340,14910,6580,4340,4340
34,03/05/2018,icdabaiq11018161344,"Day-Old Chicks",Mindanao,Netherlands,5148,468,4680,NAIA,17/05/2018,May,5148,PS-Layer,468,4680,2018,0,0,0,"Shaver White",,0,0,0,0,0,0,0,0,0
35,17/05/2018,icdabaiq11018161359,"Day-Old Chicks",Mindanao,U.S.A.,18929,4327,14602,NAIA,22/06/2018,June,18929,GP,0,0,2018,10816,3029,3786,"Indian River Meat",,0,0,4327,14602,1298,10816,3029,3786,1298
36,17/05/2018,icdabaiq11018161358,"Day-Old Chicks",Mindanao,"United Kingdom",10010,3640,6370,NAIA,16/06/2018,June,10010,GP,0,0,2018,4900,2170,1470,Cobb,,0,0,3640,6370,1470,4900,2170,1470,1470
37,23/05/2018,icdabaiq11018161372,"Day-Old Chicks",Mindanao,Netherlands,5242,562,4680,NAIA,22/06/2018,June,5242,PS-Layer,562,4680,2018,0,0,0,Hisex,,0,0,0,0,0,0,0,0,0
38,29/05/2018,icdabaiq11018161387,"Day-Old Chicks",Mindanao,"United Kingdom",20700,2700,18000,NAIA,30/05/2018,May,20700,PS,0,0,2018,0,0,0,"Arbor Acres",,2700,18000,0,0,0,0,0,0,0
39,07/06/2018,icdabaiq11018161396,"Day-Old Chicks",Mindanao,"New Zealand",9808,1280,8528,NAIA,14/07/2018,July,9808,PS,0,0,2018,0,0,0,"Arbor Acres",,1280,8528,0,0,0,0,0,0,0
40,19/06/2018,icdabaiq30218175552,"Day-Old Chicks",Mindanao,Canada,11120,1280,9840,NAIA,01/07/2018,July,11120,PS-Layer,1280,9840,2018,0,0,0,"Lohmann LSL-Extra",,0,0,0,0,0,0,0,0,0
41,03/07/2018,icdabaiq11018161441,"Day-Old Chicks",Mindanao,Australia,11282,1472,9810,NAIA,27/07/2018,July,11282,PS,0,0,2018,0,0,0,"Arbor Acres",,1472,9810,0,0,0,0,0,0,0
42,17/07/2018,icdabaiq11018161477,"Day-Old Chicks",Mindanao,"United Kingdom",10764,1404,9360,NAIA,24/07/2018,July,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
43,17/07/2018,icdabaiq11018161476,"Day-Old Chicks",Mindanao,"United Kingdom",10764,1404,9360,NAIA,27/07/2018,July,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
44,03/08/2018,icdabaiq11018161506,"Day-Old Chicks",Mindanao,France,6360,816,5544,NAIA,19/08/2018,August,6360,PS-Range,0,0,2018,0,0,0,SA51A,,816,5544,0,0,0,0,0,0,0
45,09/08/2018,icdabaiq11018161522,"Day-Old Chicks",Mindanao,Netherlands,5426,562,4864,NAIA,21/09/2018,September,5426,PS-Layer,562,4864,2018,0,0,0,"Hisex White",,0,0,0,0,0,0,0,0,0
46,22/08/2018,icdabaiq11018161557,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,01/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
47,22/08/2018,icdabaiq11018161555,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,08/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
48,22/08/2018,icdabaiq11018161546,"Day-Old Chicks",Mindanao,"United Kingdom",10764,1404,9360,NAIA,08/09/2018,September,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
49,22/08/2018,icdabaiq11018161545,"Day-Old Chicks",Mindanao,"United Kingdom",10764,1404,9360,NAIA,05/09/2018,September,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
50,27/08/2018,icdabaiq11018161566,"Hatching Eggs",Mindanao,Spain,144000,144000,0,NAIA,02/10/2018,October,144000,Terminal-Broiler,144000,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
51,28/08/2018,icdabaiq11018161572,"Day-Old Chicks",Mindanao,Netherlands,14352,1872,12480,NAIA,15/09/2018,September,14352,PS,0,0,2018,0,0,0,"Indian River Meat",,1872,12480,0,0,0,0,0,0,0
52,03/09/2018,icdabaiq11018161588,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,12/09/2018,September,100080,Terminal-Broiler,100080,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
53,21/09/2018,icdabaiq11018161631,"Day-Old Chicks",Mindanao,Netherlands,14352,1872,12480,NAIA,11/10/2018,October,14352,PS,0,0,2018,0,0,0,"Indian River Meat",,1872,12480,0,0,0,0,0,0,0
54,21/09/2018,icdabaiq11018161645,"Day-Old Chicks",Mindanao,U.S.A.,9360,2340,7020,NAIA,24/10/2018,October,9360,GP,0,0,2018,5200,1300,1820,"Arbor Acres",,0,0,2340,7020,1040,5200,1300,1820,1040
55,28/09/2018,icdabaiq11018161638,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,09/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
56,02/10/2018,icdabaiq11018161649,"Day-Old Chicks",Mindanao,U.S.A.,11960,1560,10400,NAIA,08/11/2018,November,11960,PS,0,0,2018,0,0,0,"Indian River Meat",,1560,10400,0,0,0,0,0,0,0
57,05/10/2018,icdabaiq11018161671,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,25/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
58,05/10/2018,icdabaiq11018161670,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,26/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
59,05/10/2018,icdabaiq11018161673,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,15/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
60,14/10/2018,icdabaiq11018161685,"Day-Old Chicks",Mindanao,Netherlands,10764,1404,9360,NAIA,25/10/2018,October,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
61,14/10/2018,icdabaiq11018161686,"Day-Old Chicks",Mindanao,Netherlands,10764,1404,9360,NAIA,26/10/2018,October,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
62,16/10/2018,icdabaiq11018161689,"Hatching Eggs",Mindanao,Japan,50400,6880,43520,NAIA,10/11/2018,November,40780,PS,0,0,2018,0,0,0,Cobb,,6220,34560,0,0,0,0,0,0,0
63,19/10/2018,icdabaiq11018161694,"Day-Old Chicks",Mindanao,U.S.A.,10921,2497,8424,NAIA,11/11/2018,November,10921,GP,0,0,2018,6240,1748,2184,"Indian River Meat",,0,0,2497,8424,749,6240,1748,2184,749
64,19/10/2018,icdabaiq10118161693,"Day-Old Chicks",Mindanao,U.S.A.,27589,7957,19632,NAIA,09/11/2018,November,27589,GP,0,0,2018,14872,3941,4760,Cobb,,0,0,7957,19632,4016,14872,3941,4760,4016
65,23/10/2018,icdabaiq11018161703,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,07/12/2018,December,100080,Terminal-Broiler,0,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
66,23/10/2018,icdabaiq11018161704,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,29/11/2018,November,100080,Terminal-Broiler,100080,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
67,23/10/2018,icdabaiq11018161706,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,02/11/2018,November,100080,Terminal-Broiler,100080,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
68,23/10/2018,icdabaiq11018161705,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,09/11/2018,November,100080,Terminal-Broiler,100080,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
69,24/10/2018,icdabaiq11018161709,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,02/11/2018,November,100080,Terminal-Broiler,100080,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
70,24/10/2018,icdabaiq11018161708,"Hatching Eggs",Mindanao,Spain,10800,10800,0,NAIA,30/10/2018,October,10800,Terminal-Broiler,10800,0,2018,0,0,0,,,0,0,0,0,0,0,0,0,0
71,25/10/2018,icdabaiq11018161714,"Day-Old Chicks",Mindanao,Netherlands,4077,437,3640,NAIA,30/11/2018,November,4077,PS-Layer,437,3640,2018,0,0,0,"Shaver White",,0,0,0,0,0,0,0,0,0
72,02/11/2018,icdabaiq302182141719,"Day-Old Chicks",Mindanao,Germany,14160,1680,12480,NAIA,14/11/2018,November,14160,PS-Layer,1680,12480,2018,0,0,0,"Lohman LSL",,0,0,0,0,0,0,0,0,0
73,04/11/2018,icdabaiq11018161749,"Day-Old Chicks",Mindanao,U.S.A.,27589,7957,19632,NAIA,29/11/2018,November,27589,GP,0,0,2018,14872,3941,4760,Ross,,0,0,7957,19632,4016,14872,3941,4760,4016
74,06/11/2018,icdabaiq11018161731,"Day-Old Chicks",Mindanao,U.S.A.,20930,2730,18200,NAIA,15/11/2018,November,20930,PS,0,0,2018,0,0,0,"Arbor Acres",,2730,18200,0,0,0,0,0,0,0
75,06/11/2018,icdabaiq11018161728,"Day-Old Chicks",Mindanao,Germany,18880,2240,16640,NAIA,17/11/2018,November,18880,PS-Layer,2240,16640,2018,0,0,0,"Lohman LSL",,0,0,0,0,0,0,0,0,0
76,12/11/2018,icdabaiq11018161743,"Hatching Eggs",Mindanao,Australia,47520,47520,0,NAIA,15/11/2018,November,47520,Terminal-Broiler,47520,0,2018,0,0,0,Ross,,0,0,0,0,0,0,0,0,0
77,12/11/2018,icdabaiq10118161744,"Hatching Eggs",Mindanao,Australia,47520,47520,0,NAIA,14/11/2018,November,47520,Terminal-Broiler,47520,0,2018,0,0,0,Ross,,0,0,0,0,0,0,0,0,0
78,29/11/2018,icdabaiq11018161769,"Day-Old Chicks",Mindanao,Netherlands,10764,1404,9360,NAIA,14/12/2018,December,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
79,30/11/2018,icdabaiq11018161768,"Day-Old Chicks",Mindanao,Netherlands,10764,1404,9360,NAIA,14/12/2018,December,10764,PS,0,0,2018,0,0,0,"Arbor Acres",,1404,9360,0,0,0,0,0,0,0
80,10/12/2018,icdabaiq11018161778,"Hatching Eggs",Mindanao,Spain,100080,100080,0,NAIA,14/12/2018,December,100080,Terminal-Broiler,0,0,2018,0,0,0,Cobb,,0,0,0,0,0,0,0,0,0
81,10/12/2018,icdabaiq11018161777,"Day-old chicks",Mindanao,Netherlands,24710,8960,15750,naia,04/01/2019,January,24710,GP,0,0,2018,12180,5390,3570,Cobb,NULL,0,0,8960,15750,3570,12180,5390,3570,3570
82,10/12/2018,icdabaiq11018161776,"Day-old chicks",Mindanao,U.S.A.,5461,1249,4212,naia,04/01/2019,January,5461,GP,0,0,2018,3120,874,1092,"Indian River Meat",NULL,0,0,1249,4212,375,3120,874,1092,375
83,22/12/2018,icdabaiq11018161796,"Day-old chicks",Mindanao,Netherlands,11648,1248,10400,naia,15/01/2019,January,11648,PS-Layer,1248,10400,2018,0,0,0,"Isa White",NULL,0,0,0,0,0,0,0,0,0
84,09/01/2019,icdabaiq11018161806,"Day-old chicks",Mindanao,Netherlands,11960,1560,10400,naia,17/01/2019,January,11960,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1560,10400,0,0,0,0,0,0,0
85,09/01/2019,icdabaiq11018161807,"Day-old chicks",Mindanao,Netherlands,11960,1560,10400,naia,18/01/2019,January,11960,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1560,10400,0,0,0,0,0,0,0
86,11/01/2019,icdabaiq11018161815,"Day-old chicks",Mindanao,Australia,11960,1560,10400,naia,23/01/2019,January,11960,PS-Layer,1560,10400,2019,0,0,0,"Dekalb White",NULL,0,0,0,0,0,0,0,0,0
87,10/12/2019,icdabaiq11018161812,"Day-old chicks",Mindanao,Netherlands,5600,600,5000,naia,30/01/2019,January,5600,PS-Layer,600,5000,2019,0,0,0,"Hisex White",NULL,0,0,0,0,0,0,0,0,0
88,16/01/2019,icdabaiq11019161822,"Day-old chicks",Mindanao,UK,8190,3080,5110,naia,05/02/2019,February,8190,GP,0,0,2019,3780,1680,1330,cobb,NULL,0,0,3080,5110,1400,3780,1680,1330,1400
89,14/01/2019,icdabaiq11019161818,"Day-old chicks",Mindanao,UK,21980,6930,15050,naia,05/02/2019,February,21980,GP,0,0,2019,11130,4900,3920,cobb,NULL,0,0,6930,15050,2030,11130,4900,3920,2030
90,01/02/2019,icdabaiq11019161848,"Day-old chicks",Mindanao,Netherlands,11960,1560,10400,naia,08/02/2019,February,11960,PS,0,0,2019,0,0,0,ross,NULL,1560,10400,0,0,0,0,0,0,0
91,16/01/2019,icdabaiq11019161819,"Day-old chicks",Mindanao,Australia,9360,2340,7020,naia,08/02/2019,February,9360,GP,0,0,2019,5200,1300,1820,"arbor acres",NULL,0,0,2340,7020,1040,5200,1300,1820,1040
92,08/02/2019,icdabaiq11019161862,"Day-old chicks",Mindanao,UK,10764,1404,9360,naia,27/02/2019,February,10764,PS,0,0,2019,0,0,0,cobb,NULL,1404,9360,0,0,0,0,0,0,0
93,18/02/2019,icdabaiq11019161863,"Day-old chicks",Mindanao,UK,10764,1404,9360,naia,28/02/2019,February,10764,PS,0,0,2019,0,0,0,"arbor acres",NULL,1404,9360,0,0,0,0,0,0,0
94,20/02/2019,icdabaiq11019161876,"Day-old chicks",Mindanao,Australia,11960,1560,10400,NAIA,22/03/2019,March,11960,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1560,10400,0,0,0,0,0,0,0
95,21/03/2019,icdabaiq11018161912,"Day-Old Chicks",Mindanao,Netherlands,30170,10010,20160,naia,04/04/2019,April,30170,GP,0,0,2019,14910,6580,5250,Cobb,NULL,0,0,10010,20160,3430,14910,6580,5250,3430
96,26/03/2019,icdabaiq11019161916,"Day-old chicks",Mindanao,France,16280,1728,14552,naia,06/04/2019,April,16280,PS-Range,0,0,2018,0,0,0,JA57KI,NULL,1728,14552,0,0,0,0,0,0,0
97,26/03/2019,icdabaiq11018161919,"Day-old chicks",Mindanao,UK,20585,2685,17900,naia,24/04/2019,April,20585,PS,0,0,2019,0,0,0,Ross,NULL,2685,17900,0,0,0,0,0,0,0
98,25/03/2019,icdabaiq11018161915,"Day-old chicks",Mindanao,USA,23661,5409,18252,NAIA,29/04/2019,April,23661,GP,0,0,2019,13520,3786,4732,"Indian River Meat",NULL,0,0,5409,18252,1623,13520,3786,4732,1623
99,05/05/2019,icdabaiq11018161961,"Day-old chicks",Mindanao,France,5944,640,5304,naia,09/05/2019,May,5944,PS-Range,0,0,2019,0,0,0,SA51A,NULL,640,5304,0,0,0,0,0,0,0
100,26/04/2019,icdabaiq11018161953,"Day-old chicks",Mindanao,Netherlands,5600,600,5000,naia,17/05/2019,May,5600,PS-Layer,600,5000,2019,0,0,0,"Hisex whiye",NULL,0,0,0,0,0,0,0,0,0
101,22/04/2019,icdabaiq11019161941,"Day-old chicks",Mindanao,Australia,9360,2340,7020,naia,18/05/2019,May,9360,GP,0,0,2019,5200,1300,1820,"Arbor Acres",NULL,0,0,2340,7020,1040,5200,1300,1820,1040
102,03/07/2019,icdabaiq11019162028,"Day-old chicks",Mindanao,Netherlands,10764,1404,9360,naia,02/07/2019,July,10764,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1404,9360,0,0,0,0,0,0,0
103,27/06/2019,icdabaiq11019162020,"Day-old chicks",Mindanao,Netherlands,18658,2425,16233,naia,11/07/2019,July,18658,PS,0,0,2019,0,0,0,Ross,NULL,2425,16233,0,0,0,0,0,0,0
104,03/07/2019,icdabaiq11019162031,"Day-old chicks",Mindanao,Netherlands,4893,525,4368,naia,12/07/2019,July,4893,PS-Layer,525,4368,2019,0,0,0,"Shaver white",NULL,0,0,0,0,0,0,0,0,0
105,12/07/2019,icdabaiq10819181662,"Day-old chicks",Mindanao,USA,18658,2434,16224,"Day-old chicks",01/08/2019,August,18658,PS,0,0,2019,0,0,0,Ross,NULL,2434,16224,0,0,0,0,0,0,0
106,01/07/2019,icdabaiq11019162023,"Day-old chicks",Mindanao,Netherlands,24758,3230,21528,"Day-old chicks",01/08/2019,August,24758,PS,0,0,2019,0,0,0,Ross,NULL,3230,21528,0,0,0,0,0,0,0
107,01/07/2019,icdabaiq11019162024,"Day-old chicks",Mindanao,USA,24758,3230,21528,"Day-old chicks",02/08/2019,August,24758,PS,0,0,2019,0,0,0,Ross,NULL,3230,21528,0,0,0,0,0,0,0
108,12/07/2019,icdabaiq11019162035,"Day-old chicks",Mindanao,USA,18658,2434,16224,"Day-old chicks",07/08/2019,August,18658,PS,0,0,2019,0,0,0,Ross,NULL,2434,16224,0,0,0,0,0,0,0
109,24/07/2019,icdabaiq11019162054,"Day-old chicks",Mindanao,USA,16199,3703,12496,"Day-old chicks",15/08/2019,August,16199,GP,0,0,2019,9256,2592,3240,"Indian River Meat",NULL,0,0,3703,12496,1111,9256,2592,3240,1111
110,09/08/2019,icdabaiq11019162070,"Day-old chicks",Mindanao,USA,19136,2496,16640,"Day-old chicks",15/08/2019,August,19136,PS,0,0,2019,0,0,0,Ross,NULL,2496,16640,0,0,0,0,0,0,0
111,24/07/2019,icdabaiq11019162053,"Day-old chicks",Mindanao,USA,16984,3863,13121,"Day-old chicks",15/08/2019,August,16984,GP,0,0,2019,9872,2734,3249,"Indian River Meat",NULL,0,0,3863,13121,1129,9872,2734,3249,1129
112,06/08/2019,icdabaiq11019162066,"Day-old chicks",Mindanao,Netherlands,10764,1404,9360,"Day-old chicks",22/08/2019,August,10764,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1404,9360,0,0,0,0,0,0,0
113,06/08/2019,icdabaiq11019162065,"Day-old chicks",Mindanao,Netherlands,10764,1404,9360,"Day-old chicks",23/08/2019,August,10764,PS,0,0,2019,0,0,0,"Arbor Acres",NULL,1404,9360,0,0,0,0,0,0,0
114,10/08/2019,icdabaiq11019162071,"Day-old chicks",Mindanao,UK,993,0,0,"Day-old chicks",23/08/2019,August,993,Duck,0,0,2019,0,0,0,"Heavy PS",NULL,0,0,0,0,0,0,0,0,0
