MEAT,Description,Year,Net Wight,Month
Pork,Offals,2020,4025448,July
Pork,Rind/Skin,2020,1584000,July
Pork,Bellies,2021,5029844,July
Pork,Deboned,2021,0,July
Pork,Fats,2021,5724460,July
Pork,Offals,2021,15139770,July
Pork,Pork Cuts,2021,26474143,July
Pork,Rind/Skin,2021,2914098,July
Pork,Whole Pork,2021,58072,July
Turkey,Deboned,2020,28000,July
Turkey,Offals,2020,0,July
Turkey,Turkey Meat,2020,12000,July
Turkey,Whole Turkey,2020,0,July
Turkey,Deboned,2021,152000,July
Turkey,Offals,2021,0,July
Turkey,Rind/Skin,2021,50000,July
Turkey,Turkey Meat,2021,5000,July
Turkey,Whole Turkey,2021,0,July
Beef,Beef Cuts,2019,5698891,August
Beef,Choice Cuts,2019,1184240,August
Beef,Fats,2019,2540114,August
Beef,Offals,2019,1476111,August
Beef,Beef Cuts,2020,10990027,August
Beef,Choice Cuts,2020,3584401,August
Beef,Fats,2020,3261512,August
Beef,Offals,2020,1330451,August
Beef,Beef Cuts,2021,8366507,August
Beef,Choice Cuts,2021,1127732,August
Beef,Fats,2021,2777905,August
Beef,Offals,2021,1365369,August
Buffalo,Forequarter,2019,1399904,August
Buffalo,Trimmings,2019,335968,August
Buffalo,Rumpsteak,2019,0,August
Buffalo,Knuckles,2019,28000,August
Buffalo,Trimmings,2020,364000,August
Buffalo,Forequarters,2020,2884000,August
Buffalo,Buffalo Meat,2020,0,August
Buffalo,Buffalo Meat,2021,924000,August
Buffalo,Forequarter,2021,2632000,August
Buffalo,Trimmings,2021,644000,August
Chicken,Chicken Cuts,2019,2185768,August
Chicken,Chicken Leg Quarter,2019,4817399,August
Chicken,Whole Chicken,2019,,August
Chicken,Deboned,2019,20511888,August
Chicken,Fats,2019,269160,August
Chicken,Rind/Skin,2019,678450,August
Chicken,Offals,2019,121436,August
Chicken,Chicken Cuts,2021,3830382,August
Chicken,Chicken Leg Quarter,2021,9628796,August
Chicken,Deboned,2021,24931672,August
Chicken,Fats,2021,836500,August
Chicken,Offals,2021,297990,August
Chicken,Rind/Skin,2021,511285,August
Chicken ,Chicken Cuts,2020,1908605,August
Chicken ,Chicken Leg Quarters,2020,968475,August
Chicken ,Deboned,2020,21560205,August
Chicken ,Fats,2020,777600,August
Chicken ,Offals,2020,410000,August
Chicken ,Rind/Skin,2020,84000,August
Chicken ,Whole Chicken,2020,0,August
Duck,Duck Meat,2019,0,August
Duck,Offals,2019,0,August
Duck,Whole Duck,2019,0,August
Duck,Duck Meat,2021,0,August
Duck,Offals,2021,0,August
Lamb,Lamb Meat,2019,89707,August
Lamb,Fats,2020,0,August
Lamb,Lamb Meat,2020,21300,August
Lamb,Offals,2020,0,August
Lamb,Lamb Meat,2021,0,August
Lamb,Offals,2021,0,August
Pork,Bellies,2019,2325292,August
Pork,Pork Cuts,2019,4931318,August
Pork,Deboned,2019,1000,August
Pork,Fats,2019,3954646,August
Pork,Rind/Skin,2019,1799153,August
Pork,Offals,2019,10888869,August
Pork,Whole Pork,2019,0,August
Pork,Bellies,2020,2549850,August
Pork,Pork Cuts,2020,4564490,August
Pork,Deboned,2020,0,August
Pork,Fats,2020,3854000,August
Pork,Offals,2020,5960669,August
Pork,Rind/Skin,2020,1476650,August
Pork,Bellies,2021,6031475,August
Pork,Deboned,2021,135329,August
Pork,Fats,2021,6561038,August
Pork,Offals,2021,17306494,August
Pork,Pork Cuts,2021,23214763,August
Pork,Rind/Skin,2021,3037073,August
Pork,Whole Pork,2021,18859,August
Turkey,Deboned,2020,0,August
Turkey,Offals,2020,0,August
Turkey,Turkey Meat,2020,34000,August
Turkey,Whole Turkey,2020,0,August
Turkey,Deboned,2021,125000,August
Turkey,Offals,2021,0,August
Turkey,Rind/Skin,2021,100000,August
Turkey,Turkey Meat,2021,19072,August
Turkey,Whole Turkey,2021,0,August
Beef,Beef Cuts,2019,7456049,September
Beef,Choice Cuts,2019,1178221,September
Beef,Fats,2019,1607778,September
Beef,Offals,2019,867342,September
Beef,Beef Cuts,2020,11762559,September
Beef,Choice Cuts,2020,3147876,September
Beef,Fats,2020,3512060,September
Beef,Offals,2020,1625299,September
Beef,Beef Cuts,2021,8445210,September
Beef,Choice Cuts,2021,1225447,September
Beef,Fats,2021,2319717,September
Beef,Offals,2021,1033814,September
Buffalo,Forequarter,2019,1262744,September
Buffalo,Trimmings,2019,475968,September
Buffalo,Rumpsteak,2019,27976,September
Buffalo,Knuckles,2019,0,September
Buffalo,Trimmings,2020,868000,September
Buffalo,Forequarters,2020,4709500,September
Buffalo,Buffalo Meat,2020,3000,September
Buffalo,Buffalo Meat,2021,476000,September
Buffalo,Forequarter,2021,1810004,September
Buffalo,Trimmings,2021,205996,September
Chicken,Chicken Cuts,2019,2702195,September
Chicken,Chicken Leg Quarter,2019,6373725,September
Chicken,Whole Chicken,2019,,September
Chicken,Deboned,2019,18804404,September
Chicken,Fats,2019,529600,September
Chicken,Rind/Skin,2019,354692,September
Chicken,Offals,2019,131010,September
Chicken,Chicken Cuts,2021,3048785,September
Chicken,Chicken Leg Quarter,2021,9990023,September
Chicken,Deboned,2021,26694778,September
Chicken,Fats,2021,788700,September
Chicken,Offals,2021,487790,September
Chicken,Rind/Skin,2021,327330,September
Chicken ,Chicken Cuts,2020,1959510,September
Chicken ,Chicken Leg Quarters,2020,5210431,September
Chicken ,Deboned,2020,26566491,September
Chicken ,Fats,2020,642600,September
Chicken ,Offals,2020,270000,September
Chicken ,Rind/Skin,2020,95000,September
Chicken ,Whole Chicken,2020,60000,September
Duck,Duck Meat,2019,2912,September
Duck,Offals,2019,2500,September
Duck,Whole Duck,2019,0,September
Duck,Duck Meat,2021,0,September
Duck,Offals,2021,0,September
Lamb,Lamb Meat,2019,121571,September
Lamb,Fats,2020,0,September
Lamb,Lamb Meat,2020,60000,September
